"App","Disposition","Reason"
"JetBrains dotUltimate 2022","Skip-Licensed","paid JetBrains .NET tooling; license-gated activation"
"JetBrains dotUltimate 2023","Skip-Licensed","paid JetBrains .NET tooling; license-gated activation"
"JetBrains dotUltimate 2024","Skip-Licensed","paid JetBrains .NET tooling; license-gated activation"
"JetBrains ReSharper 2023.1","Skip-Licensed","paid JetBrains .NET tooling; license-gated activation"
"Joplin","Add","free direct download, enterprise-relevant; port target"
"JProfiler","Skip-Licensed","licensed"
"BCF Manager for Tekla","Skip-Component","Tekla add-in"
"KDiff3","Add","free direct download, enterprise-relevant; port target"
"KeePass Password Safe (Classic Edition)","Supported","existing packager: keepass"
"KeePassXC","Add","free direct download, enterprise-relevant; port target"
"Keeper","Skip-Agent","tenant password manager"
"KeeWeb","Skip-EOL","unmaintained since 2021"
"Kerio Connect","Skip-Agent","UC/telephony clients provisioned per tenant"
"KeyShot Studio","Skip-Licensed","licensed creative software"
"KeyStore Explorer","Add","free direct download, enterprise-relevant; port target"
"KNIME Analytics Platform","Add","free direct download, enterprise-relevant; port target"
"Kobo","Skip-Niche","consumer media software"
"Kodu Game Lab","Skip-Niche","education vertical"
"Konnekt","Skip-Agent","UC/telephony clients provisioned per tenant"
"Kotobee Author","Skip-Niche","niche authoring tools"
"Kotobee Reader","Skip-Niche","niche authoring tools"
"Kovid Goyal Calibre","Add","free direct download, enterprise-relevant; port target"
"KPN Desktop Integratie","Skip-Niche","vertical/regional line-of-business software"
"Kreya","Add","free direct download, enterprise-relevant; port target"
"Krisp","Skip-Agent","account-provisioned audio agent"
"Krita","Add","free direct download"
"Lansweeper","Skip-Niche","server/scanner product, not endpoint app"
"Lark Deployment Tool","Skip-Niche","regional suite deployment shim"
"Laserbox basic","Skip-Niche","laser-cutter vertical"
"LastPass","Skip-Agent","tenant password manager"
"LEGO Education SPIKE","Skip-Niche","education vertical"
"Lenovo Accessories and Display Manager","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Lenovo Quick Clean","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Lens Desktop","Add","free direct download, enterprise-relevant; port target"
"Liberica JDK","Add","BellSoft Liberica - free direct downloads, LTS line"
"Lifelong Kindergarten Group Scratch","Skip-Niche","education vertical"
"LINQPad 5","Skip-Splinter","LINQPad 8 is current; licensed premium features - excluded"
"LiquidFiles Outlook Plugin","Skip-Component","server-tied Outlook plugin"
"Liquit Workspace Agent 3","Skip-Agent","workspace tenant agent"
"Local Administrator Password Solution","Add","free direct download, enterprise-relevant; port target"
"Logi Tune","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech Bolt","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech Camera Settings","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech Options","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech Presentation","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech SetPoint","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Logitech Sync App","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"LogMeIn Client","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LogMeIn GoToMeeting IT Installer","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LogMeIn GoToMeeting multi-build Installer","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LogMeIn Hamachi","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LogMeIn Host","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LogMeIn RemotelyAnywhere","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"LucaNet.Excel-Add-In","Skip-Niche","vertical/regional line-of-business software"
"LucidLink Classic","Skip-Agent","tenant-provisioned filespace client"
"Luna Modeler","Skip-Niche","niche modeler family"
"Macrobond","Skip-Niche","vertical/regional line-of-business software"
"Macrobond Viewer","Skip-Niche","vertical/regional line-of-business software"
"Mail Viewer","Skip-Niche","niche viewer"
"Malwarebytes","Supported","existing packager: malwarebytes"
"MariaDB Server 10.2","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.3","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.4","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.5","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.6","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.7","Skip-Splinter","family collapsed to one packager (represented by 'MariaDB Server 10.9')"
"MariaDB Server 10.9","Add","one MariaDB Server packager tracking latest LTS"
"MatterControl","Skip-Niche","3D-printing consumer tool"
"Mattermost Desktop","Add","free direct download, enterprise-relevant; port target"
"Maxcut","Skip-Niche","woodworking vertical"
"MAXQDA 2020 Reader","Skip-Licensed","licensed research tools"
"Memento Desktop Edition","Skip-Niche","niche database tool"
"Mendeley Desktop","Skip-EOL","retired; Reference Manager (Add) replaces it"
"Mendeley Reference Manager","Add","free direct download"
"Mendix 9","Skip-Niche","low-code platform tooling, tenant-tied"
"Mersive Solstice Client","Skip-Niche","AV-room/casting vertical tools"
"Meta Quest Developer Hub","Skip-Niche","consumer/dev VR tooling"
"Meta Spark Player","Skip-EOL","Meta Spark discontinued 2025"
"Meteor Modeler","Skip-Niche","niche modeler family"
"Microsoft .NET Core 2.2","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft .NET Desktop Runtime 6.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft .NET Desktop Runtime 7.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft .NET Runtime 6.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft .NET Runtime 7.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft .NET SDK 9.0","Skip-Splinter","STS SDK; runtimes 8/9/10 supported, SDK deployment is a dev-box concern"
"Microsoft Access Database Engine 2016","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Active Directory Rights Management Service Client","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Analysis Management Objects","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Analysis Services ADOMD.NET","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Analysis Services OLE DB Provider","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft ASP.NET Core Runtime 5.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft ASP.NET Core Runtime 6.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft ASP.NET Core Runtime 7.0","Skip-EOL",".NET 5/6/7 and Core 2.2 are end-of-life; 8 LTS/9/10 supported by existing packagers"
"Microsoft Azure CLI","Add","free direct download, enterprise-relevant; port target"
"Microsoft Azure Connected Machine Agent","Skip-Agent","onboarding-script provisioned (Arc)"
"Microsoft Azure Data CLI","Add","free direct download, enterprise-relevant; port target"
"Microsoft Azure Data Studio","Skip-EOL","retired Feb 2026"
"Microsoft Azure Information Protection client","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Azure PowerShell","Add","free direct download, enterprise-relevant; port target"
"Microsoft Azure Storage Explorer","Add","free direct download, enterprise-relevant; port target"
"Microsoft Bot Framework Composer","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Bot Framework Emulator","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Defender for Endpoint plug-in for WSL","Skip-Component","feature plug-in tied to Defender tenancy"
"Microsoft Deployment Toolkit (8456)","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Enterprise Mode Site List Manager","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft ODBC Driver 13 for SQL Server","Skip-EOL","superseded twice over"
"Microsoft ODBC Driver 17 for SQL Server","Skip-Splinter","msodbcsql18 supported; 17 superseded"
"Microsoft OLE DB Driver 18 for SQL Server","Supported","msoledb packager (19 line)"
"Microsoft On-premises data gateway","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft OneNote","Skip-Splinter","ships with M365 Apps (supported packagers)"
"Microsoft Power BI Desktop","Supported","existing packager: powerbi-desktop"
"Microsoft PowerShell Core","Supported","existing packager: powershell7"
"Microsoft PowerToys","Supported","existing packager: powertoys"
"Microsoft Purview Information Protection client","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Remote Desktop WebRTC Redirector","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Remote Help","Skip-Licensed","Intune add-on licensed feature"
"Microsoft Skype for Desktop","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Skype TX","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft SQL Server 2012 Express with Advanced Services","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2012 Native Client","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2014 Express LocalDB","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2016 Report Builder","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2017 Express Advanced Edition","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2017 for Microsoft Windows Latest Cumulative Update","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2017 Reporting Services","Skip-EOL","2012-2017 era components out of/near end of support"
"Microsoft SQL Server 2022 Express Edition","Add","free direct download, current Express line"
"Microsoft SQL Server Management Studio 20","Supported","ssms packager tracks latest"
"Microsoft Surface Data Eraser","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Surface Diagnostic Toolkit for Business","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft System CLR Types for SQL Server 2014","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Universal Print Connector","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Visio 2016 Viewer","Skip-EOL","legacy/retired Microsoft components or superseded era versions"
"Microsoft Visual C++ 2005 Redistributable","Skip-EOL","pre-2015 VC++ runtimes out of support"
"Microsoft Visual C++ 2008 Redistributable","Skip-EOL","pre-2015 VC++ runtimes out of support"
"Microsoft Visual C++ 2012 Redistributable","Skip-EOL","pre-2015 VC++ runtimes out of support"
"Microsoft Visual C++ 2015-2022 Redistributable","Supported","msvcruntimes packager (x64+x86)"
"Microsoft Visual Studio 2010 Tools for Office Runtime","Skip-EOL","legacy VSTO runtime"
"Microsoft Visual Studio 2022 Community","Skip-Wall","bootstrapper is free but channel/workload layout automation is its own project; Pro/Ent licensed"
"Microsoft Visual Studio 2022 Enterprise","Skip-Wall","bootstrapper is free but channel/workload layout automation is its own project; Pro/Ent licensed"
"Microsoft Visual Studio 2022 Professional","Skip-Wall","bootstrapper is free but channel/workload layout automation is its own project; Pro/Ent licensed"
"Microsoft Visual Studio Code","Supported","existing packager: vscode-system/user"
"Microsoft Visual Studio Team Explorer 2022","Skip-Wall","bootstrapper is free but channel/workload layout automation is its own project; Pro/Ent licensed"
"Microsoft Windows Admin Center","Add","free direct download (v2 GA)"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1607","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1803","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1809","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 1903","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 10 update 2004","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows Assessment and Deployment Kit (ADK) for Windows 11","Add","latest ADK direct from Microsoft"
"Microsoft Windows PE add-on for ADK for Windows 10 update 1809","Skip-Splinter","old ADK builds; latest ADK added"
"Microsoft Windows PE add-on for ADK for Windows 11","Add","WinPE addon pairs with latest ADK"
"Mitel miCollab","Skip-Agent","PBX-tenant provisioned"
"Mobirise","Skip-Niche","niche authoring tools"
"Mocha TN3270","Skip-Licensed","licensed terminal emulators"
"Mocha TN3812","Skip-Licensed","licensed terminal emulators"
"Mocha TN5250","Skip-Licensed","licensed terminal emulators"
"monday","Skip-Niche","thin Electron wrapper for a SaaS; web client is the product"
"MongoDB Compass","Add","free direct download; one packager, standard edition"
"MongoDB Compass Isolated Edition","Skip-Splinter","family collapsed to one packager (represented by 'MongoDB Compass')"
"MongoDB Compass Readonly Edition","Skip-Splinter","family collapsed to one packager (represented by 'MongoDB Compass')"
"Moon Modeler","Skip-Niche","niche modeler family"
"MOOS Project Viewer","Skip-Licensed","licensed viewer"
"Morphic","Skip-Niche","accessibility SaaS client (project wound down)"
"Mozilla Firefox","Supported","firefox packager (with language/arch variants)"
"Mozilla Firefox ESR 102","Skip-Splinter","family collapsed to one packager (represented by 'Mozilla Firefox ESR 115')"
"Mozilla Firefox ESR 115","Add","one firefox-esr packager tracking current ESR line"
"Mozilla FrontMotion Firefox Community Edition","Skip-Niche","community respins/legacy suite; upstream Firefox supported"
"Mozilla FrontMotion Firefox Community Edition ESR","Skip-Niche","community respins/legacy suite; upstream Firefox supported"
"Mozilla SeaMonkey","Skip-Niche","community respins/legacy suite; upstream Firefox supported"
"Mozilla Thunderbird","Supported","existing packager: thunderbird"
"mPollux DigiSign Client","Skip-Niche","vertical/regional line-of-business software"
"MSEndpointMgr Intune Debug Toolkit","Add","free community tool (GitHub), squarely in our audience"
"MSIX Core","Skip-EOL","for Win7/1709-era; irrelevant on Win10+ fleet"
"Multilogin","Skip-Licensed","subscription anti-detect browser"
"MuseScore 3","Skip-Splinter","MuseScore Studio 4 (Add) is current"
"MuseScore Studio 4","Add","free direct download, enterprise-relevant; port target"
"Nagstamon","Add","free direct download, enterprise-relevant; port target"
"NAPS2","Add","free direct download, enterprise-relevant; port target"
"NCPA","Skip-Agent","Nagios-configured agent"
"Nessus Agent 10","Skip-Agent","Tenable-linked agent"
"NetBird","Add","free direct download, enterprise-relevant; port target"
"NetLogo","Add","free direct download, enterprise-relevant; port target"
"NetSetMan","Skip-Licensed","licensed for business use"
"NETworkManager","Add","free direct download, enterprise-relevant; port target"
"New Relic Infrastructure Agent","Skip-Agent","license-key-enrolled agent"
"Nextcloud","Add","free direct download, enterprise-relevant; port target"
"NextivaONE","Skip-Agent","UC/telephony clients provisioned per tenant"
"Nitro Pro 11","Skip-Licensed","licensed PDF editor"
"Nitro Pro 13 (Retail)","Skip-Licensed","licensed PDF editor"
"Node.js 15","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 17","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 18 LTS","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 19","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 20 LTS","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 21","Skip-Splinter","old Node lines; latest LTS supported via nodejs packager"
"Node.js 22 LTS","Supported","nodejs packager tracks latest LTS"
"NoMachine","Add","free direct download, enterprise-relevant; port target"
"NoMachine Enterprise Client","Skip-Splinter","NoMachine free client (Add) covers endpoint use"
"NoMachine Enterprise Desktop","Skip-Licensed","licensed server-side"
"NoMachine Fonts Others","Skip-Component","fonts sub-package"
"NordLayer","Skip-Agent","tenant VPN client"
"Notepad++","Supported","existing packager: notepadplusplus"
"NV Access NVDA","Add","free screen reader, direct download"
"NVIDIA GeForce Experience","Skip-Niche","consumer gaming utility; enterprise drivers already packaged (GeForce/RTX packagers)"
"NVivo 12","Skip-Licensed","licensed research tools"
"NVivo 13","Skip-Licensed","licensed research tools"
"NWEA Secure Testing Browser","Skip-Niche","education vertical"
"Obsidian","Add","free direct download, enterprise-relevant; port target"
"ocenaudio","Add","free direct download, enterprise-relevant; port target"
"Oh My Posh","Add","free direct download, enterprise-relevant; port target"
"OnSIP","Skip-Agent","UC/telephony clients provisioned per tenant"
"OpenAudible","Skip-Niche","consumer media software"
"OpenDNS Umbrella Roaming Client","Skip-Agent","org-keyed DNS agent"
"OpenJDK 11","Skip-Splinter","generic jdk.java.net builds; Temurin/Corretto/Zulu LTS cover OpenJDK"
"OpenJDK 16","Skip-EOL","non-LTS, archived"
"OpenJDK 17","Skip-Splinter","generic jdk.java.net builds; Temurin/Corretto/Zulu LTS cover OpenJDK"
"OpenJDK 21","Skip-Splinter","generic jdk.java.net builds; Temurin/Corretto/Zulu LTS cover OpenJDK"
"OpenLens","Add","free direct download, enterprise-relevant; port target"
"OpenShot Video Editor","Add","free direct download, enterprise-relevant; port target"
"OpenVPN","Add","free direct download, enterprise-relevant; port target"
"OpenVPN Connect","Skip-Splinter","OpenVPN community client packaged; Connect is profile-tenant oriented"
"OpenWebStart","Add","OpenWebStart free direct; IcedTea-Web folded into it"
"Oracle Java Runtime Environment Version 8","Skip-Wall","Oracle license/account terms; use Temurin/Corretto/Zulu instead"
"Oracle Java SE Development Kit 17","Skip-Wall","Oracle license/account terms; use Temurin/Corretto/Zulu instead"
"Oracle Java SE Development Kit 23","Skip-Wall","Oracle license/account terms; use Temurin/Corretto/Zulu instead"
"Oracle MySQL Connector Net 8.0","Add","free connector, direct download; one packager tracks latest"
"Oracle MySQL Connector NET 9","Skip-Splinter","covered by connector packager tracking latest"
"Oracle MySQL Installer 8 for Windows","Skip-Splinter","installer bootstrapper; connector packaged, server out of endpoint scope"
"OrcaSlicer","Add","free direct download, enterprise-relevant; port target"
"ownCloud Desktop Client","Add","free direct download, enterprise-relevant; port target"
"Pandoc","Add","free direct download, enterprise-relevant; port target"
"PaperCut MF","Skip-Wall","partner-delivered licensed"
"PaperCut Mobility Print","Add","free direct download, common print deployment"
"PaperCut NG","Skip-Licensed","licensed server product"
"Paperpile","Skip-Niche","SaaS wrapper"
"Parallels Client 18","Skip-Splinter","family collapsed to one packager (represented by 'Parallels Client 19')"
"Parallels Client 19","Add","free RAS client, direct download; one packager tracks latest"
"Parallels Toolbox","Skip-Licensed","subscription utility pack"
"Password Safe 3","Add","free open-source password manager, direct (GitHub)"
"Path Copy Copy","Add","free direct download, enterprise-relevant; port target"
"Pausit Launcher","Skip-Niche","regional wellness product"
"PDF Studio","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"PDF Studio Viewer","Add","free PDF tools with direct downloads"
"PDF24 Creator","Add","free PDF tools with direct downloads"
"PDFCreator","Add","free PDF tools with direct downloads"
"pdfFiller","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"PDFgear","Add","free PDF tools with direct downloads"
"PDFsam Basic","Add","free PDF tools with direct downloads"
"PDFsam Visual","Skip-Licensed","paid PDFsam edition"
"PDF-Tools","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"PDF-XChange PRO","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"PeaZip","Add","free direct download, enterprise-relevant; port target"
"PerformanceTest","Skip-Licensed","PassMark licensed"
"Perky Duck","Skip-Niche","education vertical"
"Pexip","Skip-Agent","UC/telephony clients provisioned per tenant"
"Pexip Infinity Connect","Skip-Agent","UC/telephony clients provisioned per tenant"
"pgAdmin 4","Supported","existing packager: pgadmin4"
"PicPick","Add","free direct download, enterprise-relevant; port target"
"Pidgin","Add","free direct download, enterprise-relevant; port target"
"Piriform CCleaner","Supported","existing packager: ccleaner"
"Piriform CCleaner Slim","Supported","existing packager: ccleaner"
"PL SQL Developer 15","Skip-Licensed","licensed"
"PLEdit 7","Skip-Niche","niche"
"PlanGrid","Skip-EOL","absorbed into Autodesk Build"
"Plex Media Player","Skip-Niche","consumer media software"
"Plex Media Server","Skip-Niche","consumer media software"
"Poll Everywhere","Skip-Niche","SaaS wrapper"
"Poly Lens Desktop App","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"Power BI ALM Toolkit","Add","free community tool, direct download"
"Preform","Skip-Niche","Formlabs printer vertical"
"PrinterLogic Printer Installer Client","Skip-Agent","tenant print management client"
"Private Internet Access","Skip-Licensed","subscription VPN"
"PrivadoVPN","Skip-Niche","consumer VPN"
"proCertum SmartSign SimplySign Desktop","Skip-Niche","vertical/regional line-of-business software"
"Project Plan 365","Skip-Licensed","subscription"
"Project Viewer 365","Skip-Licensed","subscription"
"Proton VPN","Add","free client, direct download"
"PRTG Desktop","Skip-Agent","server-tied client"
"PSPad","Add","freeware editor, direct download"
"Publish or Perish","Skip-Niche","academic niche utility"
"Puppet Development Kit","Skip-Niche","dev tooling, superseded by pdk gem workflows"
"Publisher Select 3","Skip-Niche","print-driver vertical"
"Putty","Supported","existing packager: putty"
"PuTTY CAC","Supported","existing packager: putty (CAC variant not needed)"
"Python 3.7","Skip-EOL","CPython line end-of-life"
"Python 3.8","Skip-EOL","CPython line end-of-life"
"Python 3.9","Skip-EOL","CPython line end-of-life"
"Python 3.10","Skip-Splinter","older CPython; latest supported via python packager"
"Python 3.11","Skip-Splinter","older CPython; latest supported via python packager"
"Python 3.12","Skip-Splinter","older CPython; latest supported via python packager"
"Python 3.13","Supported","python packager tracks latest release line"
"QGIS","Add","free direct download, enterprise-relevant; port target"
"QGIS LTR","Add","LTR line alongside QGIS latest (parallel lines legitimate)"
"QNAP Qsync","Skip-Component","NAS vendor utility"
"Qurentis","Skip-Niche","vertical/regional line-of-business software"
"R for Windows","Supported","existing packager: r"
"RadiAnt DICOM viewer","Skip-Licensed","licensed medical viewer"
"Rainmeter","Add","free direct download, enterprise-relevant; port target"
"Rancher Desktop","Add","free direct download, enterprise-relevant; port target"
"Rarlab WinRAR","Supported","existing packager: winrar"
"Raspberry Pi Imager","Add","free direct download, enterprise-relevant; port target"
"RBTools","Skip-Niche","ReviewBoard tooling niche"
"Red Hat OpenJDK","Skip-Wall","Red Hat downloads require a Red Hat account"
"Red Hat OpenJDK JRE","Skip-Wall","Red Hat downloads require a Red Hat account"
"ReluxDesktop","Skip-Niche","lighting design vertical"
"Remote Ripple","Skip-Licensed","paid TightVNC viewer companion"
"RenderDoc","Add","free direct download, enterprise-relevant; port target"
"REAPER","Skip-Licensed","licensed creative software"
"REV Hardware Client","Skip-Niche","robotics education vertical"
"RingCentral App","Skip-Agent","tenant UC client; MSI public but org-tied - borderline, excluded"
"RingCentral Phone","Skip-EOL","classic app retired for RingCentral App"
"Robo 3T","Skip-EOL","abandoned; MongoDB Compass (Add) replaces"
"RoboForm","Skip-Agent","account-tied password manager"
"Rocket.Chat","Add","free direct download, enterprise-relevant; port target"
"Royal TS 5","Skip-Licensed","licensed (free tier limited to 10 connections; license file activation)"
"Royal TS 6","Skip-Licensed","licensed (free tier limited to 10 connections; license file activation)"
"Royal TS 7","Skip-Licensed","licensed (free tier limited to 10 connections; license file activation)"
"RStudio 1.4","Skip-Splinter","old RStudio; latest supported"
"RStudio 2022","Skip-Splinter","old RStudio; latest supported"
"RStudio 2023","Skip-Splinter","old RStudio; latest supported"
"Rstudio 2024","Supported","rstudio packager tracks latest"
"RustDesk","Add","free direct download, enterprise-relevant; port target"
"RVTools","Add","free direct download, enterprise-relevant; port target"
"Salesforce CLI sf v2","Add","free direct download, enterprise-relevant; port target"
"Samsung Smart Switch","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Samsung Smart View","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Saola Animate","Skip-Niche","niche authoring tools"
"ScaleFT","Skip-EOL","absorbed into Okta Advanced Server Access"
"Screen InStyle","Skip-Component","Eizo monitor utility"
"ScreenBeam Conference","Skip-Niche","AV-room/casting vertical tools"
"ScreenCloud Player","Skip-Niche","digital signage vertical"
"ScreenToGif","Add","free direct download, enterprise-relevant; port target"
"Sejda PDF Desktop","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"SelfGuide Recorder","Skip-Niche","regional SaaS"
"SharePoint Online Management Shell","Add","free direct download, enterprise-relevant; port target"
"Shotcut","Add","free direct download, enterprise-relevant; port target"
"SHOTPlus 6","Skip-Niche","vertical/regional line-of-business software"
"SHOTPlus Tunnel","Skip-Niche","vertical/regional line-of-business software"
"SHOTPlus Underground","Skip-Niche","vertical/regional line-of-business software"
"SideQuest","Skip-Niche","consumer VR sideloader"
"Signiant App","Skip-Agent","tenant transfer client"
"Simon Tatham Putty","Supported","existing packager: putty"
"Simple Sticky Notes","Skip-Niche","consumer utility"
"Simplenote","Add","free direct download, enterprise-relevant; port target"
"Sketchup Pro 2024","Skip-Licensed","licensed CAD"
"Sketchup Pro 2025","Skip-Licensed","licensed CAD"
"Skillbrains LightShot","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"Slido","Skip-Component","PowerPoint add-in tied to accounts"
"SMath Studio","Add","free direct download, enterprise-relevant; port target"
"SmartFTP Client","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"Smartsheet desktop app","Skip-Niche","SaaS wrapper"
"SnapCAD","Skip-Niche","education vertical"
"SnapGene Viewer","Skip-Niche","research vertical (registration wall)"
"Snagit 2018","Skip-Splinter","old Snagit years; and product is license-gated"
"Snagit 2019","Skip-Splinter","old Snagit years; and product is license-gated"
"Snagit 2020","Skip-Splinter","old Snagit years; and product is license-gated"
"Snagit 2021","Skip-Splinter","old Snagit years; and product is license-gated"
"Snagit 2023","Skip-Splinter","old Snagit years; and product is license-gated"
"Snagit 2024","Skip-Licensed","TechSmith license key required to use; trial-only unattended"
"Snapform Viewer","Skip-Niche","vertical/regional line-of-business software"
"Snapmaker Luban","Skip-Niche","3D-printer vendor tool"
"SnelStart","Skip-Niche","vertical/regional line-of-business software"
"SoapUI","Supported","existing packager: soapui"
"Softerra LDAP Administrator","Skip-Licensed","licensed"
"Softerra LDAP Browser","Add","free LDAP browser, direct download"
"Softland doPDF","Add","free PDF tools with direct downloads"
"SolarWinds Orion SDK","Skip-Niche","SDK for server suite"
"SonicWall Connect Tunnel","Skip-Agent","firewall-provisioned VPN"
"SonicWall NetExtender","Skip-Agent","firewall-provisioned VPN"
"Sophos Connect","Skip-Agent","firewall-provisioned VPN profile client"
"South River Technologies WebDrive","Skip-Licensed","licensed"
"Spark AR Player for Desktop","Skip-EOL","Meta Spark discontinued"
"Splashtop Business","Skip-Agent","account-generated deployment installers"
"Squirrels Reflector 3","Skip-Niche","AV-room/casting vertical tools"
"Squirrels Reflector 4","Skip-Niche","AV-room/casting vertical tools"
"SRWare Iron","Skip-Niche","niche Chromium fork"
"Steam","Skip-Niche","consumer media software"
"Stellarium","Add","free direct download, enterprise-relevant; port target"
"Storyboarder","Skip-Niche","niche authoring tools"
"Striata Reader","Skip-Niche","vertical/regional line-of-business software"
"SuperOffice WebTools","Skip-Agent","CRM tenant companion"
"SURF eduVPN Client","Skip-Niche","vertical/regional line-of-business software"
"SURFdrive","Skip-Niche","vertical/regional line-of-business software"
"Symphony Desktop Application","Skip-Agent","UC/telephony clients provisioned per tenant"
"SyncBackFree","Add","free edition, direct download"
